	amazon_isbn	author	binding	description	img	isbn	page_count	percent_off	price	rating	rating_count	title	url	price_i	rating_i	rating_count_i	new_score
24	9780465050659	Don Norman	Paperback	The ultimate guide to human-centered design Even the smartest among us can feel inept as we fail to figure out which light switch or oven burner to turn on, or whether to push, pull, or slide a door. The fault, argues this ingenious-even liberating-book, lies not in ourselves, but in product design that ignores the needs of users and the principles of cognitive psychology. The problems range from ambiguous and hidden controls to arbitrary relationships between controls and functions, coupled with a lack of feedback or other assistance and unreasonable demands on memorization.The Design of Everyday Things shows that good, usable design is possible. The rules are simple: make things visible, exploit natural relationships that couple function and control, and make intelligent use of constraints. The goal: guide the user effortlessly to the right action on the right control at the right time.The Design of Everyday Things is a powerful primer on how--and why--some products satisfy customers while others only frustrate them.	https://images-na.ssl-images-amazon.com/images/I/410RTQezHYL.jpg	9780465050659	368	32	1292	4.19	19900	The Design of Everyday Things	https://www.amazon.com/Design-Everyday-Things-Revised-Expanded/dp/0465050654?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0465050654	68.32	59.5	100.0	227.82
1	9780743235273	Twyla Tharp	Paperback	"One of the world’s leading creative artists, choreographers, and creator of the smash-hit Broadway show, Movin’ Out, shares her secrets for developing and honing your creative talents—at once prescriptive and inspirational, a book to stand alongside The Artist’s Way and Bird by Bird.All it takes to make creativity a part of your life is the willingness to make it a habit. It is the product of preparation and effort, and is within reach of everyone. Whether you are a painter, musician, businessperson, or simply an individual yearning to put your creativity to use, The Creative Habit provides you with thirty-two practical exercises based on the lessons Twyla Tharp has learned in her remarkable thirty-five-year career.   In ""Where's Your Pencil?"" Tharp reminds you to observe the world -- and get it down on paper. In ""Coins and Chaos,"" she gives you an easy way to restore order and peace. In ""Do a Verb,"" she turns your mind and body into coworkers. In ""Build a Bridge to the Next Day,"" she shows you how to clean the clutter from your mind overnight.   Tharp leads you through the painful first steps of scratching for ideas, finding the spine of your work, and getting out of ruts and into productive grooves. The wide-open realm of possibilities can be energizing, and Twyla Tharp explains how to take a deep breath and begin..."	https://images-na.ssl-images-amazon.com/images/I/51U-BkmvXWL.jpg	9780743235273	256	39	1098	3.99	19200	The Creative Habit	https://www.amazon.com/Creative-Habit-Learn-Use-Life/dp/0743235274?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0743235274	76.08	49.5	100.0	225.58
17	1568989695	Ellen Lupton	Paperback	Our all time best selling book is now available in a revised and expanded second edition. Thinking with Type is the definitive guide to using typography in visual communication, from the printed page to the computer screen. This revised edition includes forty-eight pages of new content, including the latest information on style sheets for print and the web, the use of ornaments and captions, lining and non-lining numerals, the use of small caps and enlarged capitals, as well as information on captions, font licensing, mixing typefaces, and hand lettering. Throughout the book, visual examples show how to be inventive within systems of typographic form—what the rules are and how to break them. Thinking with Type is a type book for everyone: designers, writers, editors, students, and anyone else who works with words. The popular online companion to Thinking with Type (www.thinkingwithtype.com) has been revised to reflect the new material in the second edition.	https://images-na.ssl-images-amazon.com/images/I/51-mo91cYnL.jpg	9781568989693	224	48	1432	4.07	9400	Thinking With Type	https://www.amazon.com/Thinking-Type-2nd-revised-expanded/dp/1568989695?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1568989695	62.72	53.5	93.9393939394	210.159393939
25	9780061766084	Tim Brown	Hardcover	The myth of innovation is that brilliant ideas leap fully formed from the minds of geniuses. The reality is that most innovations come from a process of rigorous examination through which great ideas are identified and developed before being realized as new offerings and capabilities.  This book introduces the idea of design thinking‚ the collaborative process by which the designer′s sensibilities and methods are employed to match people′s needs not only with what is technically feasible and a viable business strategy. In short‚ design thinking converts need into demand. It′s a human−centered approach to problem solving that helps people and organizations become more innovative and more creative.  Design thinking is not just applicable to so−called creative industries or people who work in the design field. It′s a methodology that has been used by organizations such as Kaiser Permanente to increase the quality of patient care by re−examining the ways that their nurses manage shift change‚ or Kraft to rethink supply chain management. This is not a book by designers for designers; this is a book for creative leaders seeking to infuse design thinking into every level of an organization‚ product‚ or service to drive new alternatives for business and society.	https://images-na.ssl-images-amazon.com/images/I/41-aaVMQaFL.jpg	9780061766084	272	47	1604	3.91	6700	Change By Design	https://www.amazon.com/Change-Design-Transforms-Organizations-Innovation/dp/0061766089?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0061766089	55.84	45.5	66.6666666667	168.006666667
0	9781580087735	Michael Michalko	Paperback	Rethink the Way You Think In hindsight, every great idea seems obvious. But how can you be the person who comes up with those ideas? In this revised and expanded edition of his groundbreaking Thinkertoys, creativity expert Michael Michalko reveals life-changing tools that will help you think like a genius. From the linear to the intuitive, this comprehensive handbook details ingenious creative-thinking techniques for approaching problems in unconventional ways. Through fun and thought-provoking exercises, you’ll learn how to create original ideas that will improve your personal life and your business life. Michalko’s techniques show you how to look at the same information as everyone else and see something different.  With hundreds of hints, tricks, tips, tales, and puzzles, Thinkertoys will open your mind to a world of innovative solutions to everyday and not-so-everyday problems.	https://images-na.ssl-images-amazon.com/images/I/51H1TRBRB1L.jpg	9781580087735	416	39	1285	3.99	3300	Thinkertoys	https://www.amazon.com/Thinkertoys-Handbook-Creative-Thinking-Techniques-2nd/dp/1580087736?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1580087736	68.6	49.5	32.3232323232	150.423232323
16	0141035811	Bruno Munari	Paperback	One of the last surviving members of the futurist generation, Bruno Munari's Design as Art is an illustrated journey into the artistic possibilities of modern design translated by Patrick Creagh published as part of the 'Penguin on Design' series in Penguin Modern Classics. 'The designer of today re-establishes the long-lost contact between art and the public, between living people and art as a living thing' Bruno Munari was among the most inspirational designers of all time, described by Picasso as 'the new Leonardo'. Munari insisted that design be beautiful, functional and accessible, and this enlightening and highly entertaining book sets out his ideas about visual, graphic and industrial design and the role it plays in the objects we use everyday. Lamps, road signs, typography, posters, children's books, advertising, cars and chairs - these are just some of the subjects to which he turns his illuminating gaze. How do we see the world around us? The Penguin on Design series includes the works of creative thinkers whose writings on art, design and the media have changed our vision forever. Bruno Munari (1907-1998), born in Milan, was the enfant terrible of Italian art and design for most of the twentieth century, contributing to many fields of both visual (paint, sculpture, film, industrial design, graphics) and non-visual arts (literature, poetry). He was twice awarded the Compasso d'Oro design prize for excellence in his field. If you enjoyed Design as Art, you might like John Berger's Ways of Seeing, also available in Penguin Modern Classics. 'One of the most influential designers of the twentieth century ... Munari has encouraged people to go beyond formal conventions and stereotypes by showing them how to widen their perceptual awareness' International Herald Tribune	https://images-na.ssl-images-amazon.com/images/I/51%2B2ZT0bpfL.jpg	9780141035819	224	24	1219	4.09	1800	Design as Art	https://www.amazon.com/Design-As-Art-Bruno-Munari/dp/0141035811?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0141035811	71.24	54.5	17.1717171717	142.911717172
29	0810970856	Alex Steffen	Paperback	Worldchanging is packed with information, resources, reviews, and ideas that give readers access to the tools they need to build a better future. Written by a diverse collaborative of innovators, Worldchanging demonstrates that the means for making a difference lie all around us. This team of top-notch writers, brought together by Worldchanging.com founder Alex Steffen, includes Cameron Sinclair, founder of Architecture for Humanity, Geekcore founder Ethan Zuckerman, and sustainable food expert Anne Lappé, among many others. Each chapter offers practical answers to important questions, such as: Why does buying locally produced food make sense? What steps can we take to influence our workplace toward sustainability? How can we travel, live, work, and learn in world-changing ways? How, in short, can we participate in building a better future locally and globally? Worldchanging proves that a life that is sustainably prosperous, thoughtful and democratic, dynamic and peaceful, is not just possible, it’s here.	https://images-na.ssl-images-amazon.com/images/I/51Fg1BNBHkL.jpg	9780810970854	600	50	999	4.02	800	World Changing: A User's Guide for the 21st Century	https://www.amazon.com/Worldchanging-Users-Guide-21st-Century/dp/0810970856?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0810970856	80.04	51.0	7.07070707071	138.110707071
18	9780961392147	Edward R. Tufte	Hardcover	"The classic book on statistical graphics, charts, tables. Theory and practice in the design of data graphics, 250 illustrations of the best (and a few of the worst) statistical graphics, with detailed analysis of how to display data for precise, effective, quick analysis. Design of the high-resolution displays, small multiples. Editing and improving graphics. The data-ink ratio. Time-series, relational graphics, data maps, multivariate designs. Detection of graphical deception: design variation vs. data variation. Sources of deception. Aesthetics and data graphical displays. 
This is the second edition of The Visual Display of Quantitative Information. Recently published, this new edition provides excellent color reproductions of the many graphics of William Playfair, adds color to other images, and includes all the changes and corrections accumulated during 17 printings of the first edition."	https://images-na.ssl-images-amazon.com/images/I/41tNVlRHZNL.jpg	9780961392147	200	5	3794	4.41	6400	The Visual Display of Quantitative Information	https://www.amazon.com/Visual-Display-Quantitative-Information/dp/0961392142?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0961392142	0.0	70.5	63.6363636364	134.136363636
31	9780262701150	John Thackara	Paperback	"How to design a world in which we rely less on stuff, and more on people.We're filling up the world with technology and devices, but we've lost sight of an important question: What is this stuff for? What value does it add to our lives? So asks author John Thackara in his new book, In the Bubble: Designing for a Complex World. These are tough questions for the pushers of technology to answer. Our economic system is centered on technology, so it would be no small matter if ""tech"" ceased to be an end-in-itself in our daily lives. Technology is not going to go away, but the time to discuss the end it will serve is before we deploy it, not after. We need to ask what purpose will be served by the broadband communications, smart materials, wearable computing, and connected appliances that we're unleashing upon the world. We need to ask what impact all this stuff will have on our daily lives. Who will look after it, and how?In the Bubble is about a world based less on stuff and more on people. Thackara describes a transformation that is taking place now―not in a remote science fiction future; it's not about, as he puts it, ""the schlock of the new"" but about radical innovation already emerging in daily life. We are regaining respect for what people can do that technology can't. In the Bubble describes services designed to help people carry out daily activities in new ways. Many of these services involve technology―ranging from body implants to wide-bodied jets. But objects and systems play a supporting role in a people-centered world. The design focus is on services, not things. And new principles―above all, lightness―inform the way these services are designed and used. At the heart of In the Bubble is a belief, informed by a wealth of real-world examples, that ethics and responsibility can inform design decisions without impeding social and technical innovation."	https://images-na.ssl-images-amazon.com/images/I/4172PKS8J0L.jpg	9780262701150	332	49	1159	4.00	300	In the Bubble: Designing in a Complex World	https://www.amazon.com/Bubble-Designing-Complex-World-Press/dp/0262701154?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0262701154	73.64	50.0	2.0202020202	125.66020202
20	0500203474	Richard Hollis	Paperback	"From its roots in the development of printing, graphic design has evolved as a means of identification, information, and promotion to become a profession and discipline in its own right. This authoritative documentary history begins with the poster and goes on to chart the development of word and image in brochures and magazines, advertising, corporate identity, television, and electronic media, and the impact of technical innovations such as photography and the computer. For the revised edition, a new final chapter covers all the recent international developments in graphic design, including the role of the computer and the Internet in design innovation and globalization. In the last years of the twentieth century, at a time when ""designer products"" and the use of logos grew in importance, the role of graphic designers became more complex, subversive, and sometimes more politicalâ€•witness Oliviero Toscani's notorious advertisements for Benetton. Digital technology cleared the way for an astonishing proliferation of new typefaces, and words began to take second place to typography in a whole range of magazines and books as designers asserted the primacy of their medium. Designers and companies discussed here include Neville Brody, David Carson, Design Writing Research, Edward Fella, Tibor Kalman, Jeffery Keedy, LettError, Pierre di Sciullo, Tomato, Gerard Unger, Cornel Windlin, and a host of others. Over 800 illustrations, 30 in color"	https://images-na.ssl-images-amazon.com/images/I/51Mi2HhFr1L.jpg	9780500203477	232	39	1452	4.00	700	Graphic Design: A Concise History	https://www.amazon.com/Graphic-Design-Concise-History-Second/dp/0500203474?SubscriptionId=AKIAJZAKURNIAY4STOJQ&tag=karslucon-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0500203474	61.92	50.0	6.06060606061	117.980606061
